Year,T2M,RH2M,PRECTOTCORR,District_Name,NDVI,Yield
2015,26.39128767123288,43.29586301369863,589.35,agra,0.4067853344429914,3.30971253270213
2016,26.95371584699453,42.14685792349727,771.76,agra,0.3497214099001204,2.7699190524469337
2017,27.21909589041096,39.36076712328767,454.06,agra,0.2979693280227822,3.153938122551968
2018,26.341506849315067,46.32767123287671,857.98,agra,0.387408251976401,3.2929964303849277
2019,26.030219178082195,50.75860273972602,698.9,agra,0.30523449826497,3.1829989646759
2020,26.19669398907104,46.16226775956284,510.4,agra,0.3369986341476467,3.7034802885033167
2021,25.944027397260275,51.01701369863014,852.21,agra,0.3551242317746722,3.896999814574448
2022,26.235726027397263,52.31093150684932,775.58,agra,0.3932389768939214,3.831965542038268
2023,25.90109589041096,51.30161643835616,687.78,agra,0.3736934364512257,3.705999697748224
2024,25.917786885245903,53.58273224043715,1016.9,agra,0.3606172723032653,2.411001499603046
2015,25.844438356164385,43.22282191780822,631.44,aligarh,0.3810867709299098,3.045002254063123
2016,26.455519125683058,40.8746174863388,686.07,aligarh,0.3411655105199218,2.855999173828318
2017,26.212246575342466,42.043506849315065,589.0600000000001,aligarh,0.3374491118298999,3.2169997721958
2018,25.771424657534247,46.9992602739726,782.17,aligarh,0.4130934496700231,3.3869999412293907
2019,25.70991780821918,49.25805479452055,601.42,aligarh,0.3463360329415405,3.193001708532402
2020,25.511803278688525,47.73060109289618,555.76,aligarh,0.3907261289624492,3.5450004282964174
2021,24.974438356164384,53.848821917808216,971.42,aligarh,0.3905748945624361,3.7659994490864017
2022,25.69690410958904,53.55534246575343,749.94,aligarh,0.4154560407030517,3.465000412136976
2023,25.133397260273973,53.60934246575342,782.89,aligarh,0.4412468684469182,3.601001380449112
2024,25.653797814207653,51.65967213114754,817.63,aligarh,0.3861236342318626,2.448001719913825
2015,26.68701369863014,49.06520547945205,786.68,ambedkar nagar,0.6216899863668789,2.977000078408824
2016,26.439262295081967,52.39251366120219,1054.17,ambedkar nagar,0.426523415968687,2.959996865913325
2017,26.49353424657534,53.75783561643836,1037.41,ambedkar nagar,0.3828148310960647,3.243998581943413
2018,26.118027397260278,52.51901369863013,1016.98,ambedkar nagar,0.4032558635431197,3.312999932782147
2019,25.829342465753424,59.243013698630136,1204.39,ambedkar nagar,0.394999387927938,3.1300026675156825
2020,24.654972677595627,64.13775956284152,1253.38,ambedkar nagar,0.4169893565444862,3.3520012684095555
2021,25.138794520547943,61.91372602739725,1552.06,ambedkar nagar,0.4284799872227513,3.3569987966713555
2022,25.537589041095888,61.74783561643835,982.42,ambedkar nagar,0.4090372882819127,3.341996703193461
2023,26.074273972602743,56.29917808219178,893.6,ambedkar nagar,0.4068235169186462,3.4439996959947305
2024,26.24344262295082,56.2529781420765,1019.74,ambedkar nagar,0.4122020653596012,2.297000774154881
2015,26.59186301369863,45.10205479452055,648.12,auraiya,0.2881738029276998,2.924995087014433
2016,27.092185792349728,43.94827868852459,707.34,auraiya,0.3602149067622758,3.138002920696734
2017,27.379534246575343,41.67816438356164,532.12,auraiya,0.3463937831404,3.0560042339243187
2018,26.617232876712333,47.38183561643835,901.09,auraiya,0.4241117204941609,3.537995465959112
2019,25.92583561643836,54.11734246575342,844.85,auraiya,0.3393675404797026,2.8730007329390856
