system:index,District_Name,NDVI,Year,.geo
0_0001000000000000180c,Gorakhpur,0.29413527132780015,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001835,Maharajganj,0.4072330919206143,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001803,Deoria,0.3360277469426068,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001834,Kushinagar,0.39283075584663574,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000180d,Hamirpur,0.12614420023595294,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001836,Mahoba,0.10996547432338966,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000017fb,Bahraich,0.579100823903478,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001806,Faizabad,0.6083185520682108,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001826,Ambedkar Nagar,0.6216899863668789,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001839,Sant Ravi Das Nagar,0.5182920092509025,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000183a,Shravasti,0.6594240359709596,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000017f8,Aligarh,0.38108677092990983,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000017f9,Allahabad,0.44600624808729034,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000017fd,Banda,0.26963752144219116,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000180b,Gonda,0.6401534908255696,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001817,Mathura,0.44900617279388033,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000181a,Moradabad,0.36724187499956107,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001825,Varanasi,,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000182a,Balrampur,0.6496859780008682,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000182b,Chandauli,,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000182c,Chitrakoot,0.3721943961441952,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000182f,Hathras,0.49336352184989163,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001830,Jyotiba Phule Nagar,0.4100278320021115,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001833,Kaushambi,0.44541378855230074,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001800,Basti,0.6203605082334771,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001802,Bulandshahr,0.3620721596644629,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001805,Etawah,0.36342083949165876,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001807,Farrukhabad,0.4244352491111349,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001818,Meerut,0.3274336483431679,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001827,Auraiya,0.28817380292769984,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001829,Baghpat,,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000182e,Gautam Buddha Nagar,,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001831,Kannauj,0.4391088282539463,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001838,Sant Kabir Nagar,0.5257071008610132,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000017f7,Agra,0.4067853344429914,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000017fa,Azamgarh,0.3004200004276206,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000017fc,Ballia,,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000017fe,Bara Banki,0.6051977262937677,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000017ff,Bareilly,0.28950414448104667,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001801,Bijnor,0.4374684194463512,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001804,Etah,0.35218641026400105,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001808,Fatehpur,0.3460392417968715,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001809,Ghaziabad,0.4262987630869676,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000180a,Ghazipur,,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000180e,Hardoi,0.45303840610935125,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000180f,Jalaun,0.21867699000773247,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001810,Jaunpur,0.2538730374825489,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001811,Jhansi,0.17153321549297948,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001812,Kanpur,0.29058292702296706,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001813,Lakhimpur Kheri,0.5600331881002047,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001814,Lalitpur,0.24837626145512415,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001815,Lucknow,0.4993807000987904,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001816,Mainpuri,0.37703861034398706,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001819,Mirzapur,0.4366426400525273,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000181b,Muzaffarnagar,0.25846979346397836,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000181c,Pilibhit,0.36980134397445846,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000181d,Pratapgarh,0.26406566593182446,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000181e,Rae Bareli,0.34587488699393615,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000181f,Rampur,0.3260023415444542,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001820,Saharanpur,,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001821,Shahjahanpur,0.30287945787381176,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001822,Sitapur,0.6242392322474773,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001823,Sultanpur,0.3612306714563143,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001824,Unnao,0.3565085249350697,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001828,Badaun,0.3272624310411849,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000182d,Firozabad,0.4225448584682352,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001832,Kanpur Dehat,0.27857948362344725,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00010000000000001837,Mau,,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000183b,Siddharth Nagar,0.7055871514284742,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000183c,Sonbhadra,,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000180c,Gorakhpur,0.32503797909087734,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001835,Maharajganj,0.42138823759697375,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001803,Deoria,0.33554148169060416,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001834,Kushinagar,0.41329087821106897,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000180d,Hamirpur,0.339039237029877,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001836,Mahoba,0.3011835803067621,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000017fb,Bahraich,0.40641567427097236,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001806,Faizabad,0.4105377430148609,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001826,Ambedkar Nagar,0.42652341596868704,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001839,Sant Ravi Das Nagar,0.39999522719015196,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000183a,Shravasti,0.4458194625719974,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000017f8,Aligarh,0.3411655105199218,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000017f9,Allahabad,0.4041997584408943,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000017fd,Banda,0.38408623494095895,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000180b,Gonda,0.39425085705240137,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001817,Mathura,0.29087870225633744,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000181a,Moradabad,0.3959665619724932,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001825,Varanasi,0.35772026949719954,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000182a,Balrampur,0.43171924858987604,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000182b,Chandauli,0.4474234874101451,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000182c,Chitrakoot,0.40691423661986453,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000182f,Hathras,0.34442652657210665,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001830,Jyotiba Phule Nagar,0.42632061487797707,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001833,Kaushambi,0.39992008711681093,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001800,Basti,0.41089999970143376,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001802,Bulandshahr,0.3870012687758983,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001805,Etawah,0.3742764332026687,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001807,Farrukhabad,0.3610834643710451,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001818,Meerut,0.4320057910100738,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001827,Auraiya,0.3602149067622758,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001829,Baghpat,0.4373745087153856,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000182e,Gautam Buddha Nagar,0.2706347747452545,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001831,Kannauj,0.3912713123611202,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001838,Sant Kabir Nagar,0.3885189004132996,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000017f7,Agra,0.34972140990012046,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000017fa,Azamgarh,0.3915406827596206,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000017fc,Ballia,0.3397749018472247,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000017fe,Bara Banki,0.39188777329780095,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000100000000000017ff,Bareilly,0.3688039644028889,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001801,Bijnor,0.4362500741682622,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001804,Etah,0.3581209991129395,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001808,Fatehpur,0.4021214729318234,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001809,Ghaziabad,0.36300565989246225,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000180a,Ghazipur,0.35602388787938205,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000180e,Hardoi,0.33912908839053113,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000180f,Jalaun,0.33899504266685815,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001810,Jaunpur,0.3930262644815182,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001811,Jhansi,0.32842269141053526,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001812,Kanpur,0.34563683643217624,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001813,Lakhimpur Kheri,0.3971387794060013,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001814,Lalitpur,0.35554508299214693,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001815,Lucknow,0.37768818157144474,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001816,Mainpuri,0.3698737465194961,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001819,Mirzapur,0.37589208280101954,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000181b,Muzaffarnagar,0.45675649099869126,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000181c,Pilibhit,0.38478039034853084,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000181d,Pratapgarh,0.4119871556269987,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000181e,Rae Bareli,0.4144173330641916,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000181f,Rampur,0.39797845151330613,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001820,Saharanpur,0.4364847391228359,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001821,Shahjahanpur,0.329199439730132,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001822,Sitapur,0.37844311941087994,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001823,Sultanpur,0.41325160118816856,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001824,Unnao,0.36622022743873917,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001828,Badaun,0.3453416335883245,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000182d,Firozabad,0.3450308265630288,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001832,Kanpur Dehat,0.36513324983233875,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00010000000000001837,Mau,0.3674479162442947,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0001000000000000183b,Siddharth Nagar,0.3931994650906835,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
