system:index,District_Name,NDVI,Year,.geo
1_1_1_1_1_1_1_1_1_2_0001000000000000180c,Gorakhpur,0.29650634125923947,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_000100000000000017f8,Aligarh,0.3912592403571502,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_00010000000000001825,Varanasi,,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_00010000000000001818,Meerut,0.34270720748121575,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_000100000000000017f7,Agra,0.41461321758057496,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_000100000000000017ff,Bareilly,0.29244129292407156,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_00010000000000001811,Jhansi,0.172567998063925,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_2_00010000000000001815,Lucknow,0.49038751285992693,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_0001000000000000180c,Gorakhpur,0.3261900919554771,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_000100000000000017f8,Aligarh,0.3461319085526362,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_00010000000000001825,Varanasi,0.35447969600843643,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_00010000000000001818,Meerut,0.431340126372631,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_000100000000000017f7,Agra,0.3579280833051331,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_000100000000000017ff,Bareilly,0.36879145993410445,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_00010000000000001811,Jhansi,0.33793431692750375,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_2_00010000000000001815,Lucknow,0.38251615843519876,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
