Year,T2M,RH2M,PRECTOTCORR,District_Name
2015,26.667506849315068,44.51687671232877,629.19,Lucknow
2016,26.60890710382514,46.55125683060109,869.86,Lucknow
2017,26.42158904109589,48.90871232876712,960.07,Lucknow
2018,26.099068493150686,50.69367123287671,1216.01,Lucknow
2019,25.41419178082192,57.75397260273973,1122.8600000000001,Lucknow
2020,24.975819672131145,56.59530054644809,900.43,Lucknow
2021,25.460520547945205,54.87734246575342,1047.85,Lucknow
2022,25.61158904109589,57.86668493150685,1104.71,Lucknow
2023,25.61441095890411,55.286958904109596,876.75,Lucknow
2024,25.907131147540984,54.38245901639344,919.48,Lucknow
2015,27.031287671232878,43.4201095890411,536.84,Kanpur
2016,26.754890710382515,46.89322404371584,829.37,Kanpur
2017,26.780712328767127,47.40775342465754,859.0,Kanpur
2018,26.431561643835618,49.60912328767124,1124.3799999999999,Kanpur
2019,25.61068493150685,57.370794520547946,1072.93,Kanpur
2020,25.1072131147541,57.07841530054645,909.03,Kanpur
2021,25.615232876712327,54.86591780821918,1049.54,Kanpur
2022,25.757287671232877,57.56090410958904,1022.08,Kanpur
2023,25.78276712328767,55.045041095890404,862.78,Kanpur
2024,26.250136612021855,52.997240437158474,773.61,Kanpur
2015,26.391287671232877,43.29586301369863,589.35,Agra
2016,26.953715846994534,42.146857923497265,771.76,Agra
2017,27.21909589041096,39.36076712328767,454.06,Agra
2018,26.341506849315067,46.32767123287671,857.98,Agra
2019,26.030219178082195,50.75860273972602,698.9,Agra
2020,26.196693989071036,46.16226775956284,510.4,Agra
2021,25.944027397260275,51.01701369863014,852.21,Agra
2022,26.235726027397263,52.31093150684932,775.58,Agra
2023,25.901095890410957,51.30161643835616,687.78,Agra
2024,25.917786885245903,53.58273224043715,1016.9,Agra
2015,27.153205479452055,48.8188493150685,713.1899999999999,Varanasi
2016,26.76273224043716,53.666420765027326,1039.25,Varanasi
2017,27.144520547945206,51.194,765.5,Varanasi
2018,27.03956164383562,48.42309589041096,761.7,Varanasi
2019,26.474246575342466,56.47682191780822,1059.67,Varanasi
2020,25.216803278688527,62.67448087431694,1040.55,Varanasi
2021,25.773890410958902,58.47260273972603,1114.41,Varanasi
2022,26.313726027397262,56.56161643835617,845.88,Varanasi
2023,26.70917808219178,53.26293150684932,778.13,Varanasi
2024,26.640054644808743,55.441338797814204,919.9399999999999,Varanasi
2015,27.221972602739726,47.08904109589041,683.08,Prayagraj
2016,26.67292349726776,53.078797814207654,1069.25,Prayagraj
2017,27.033753424657533,50.17298630136986,785.13,Prayagraj
2018,27.073863013698627,47.906,793.6,Prayagraj
2019,26.29772602739726,56.352931506849316,1110.47,Prayagraj
2020,25.109398907103827,61.89639344262296,1032.7,Prayagraj
2021,25.824109589041093,56.68139726027397,1068.58,Prayagraj
2022,26.30380821917808,55.50956164383562,876.22,Prayagraj
2023,26.44353424657534,53.716547945205484,807.04,Prayagraj
2024,26.553715846994535,54.74532786885246,908.33,Prayagraj
2015,25.143671232876713,51.25235616438356,1154.19,Bareilly
2016,25.748852459016394,47.53765027322404,1068.98,Bareilly
2017,25.761561643835616,49.2612602739726,938.75,Bareilly
2018,25.26605479452055,52.483479452054794,1265.42,Bareilly
2019,25.132986301369865,55.17087671232876,951.35,Bareilly
2020,24.51969945355191,55.86904371584699,1010.58,Bareilly
2021,24.6233698630137,56.84180821917808,1218.28,Bareilly
2022,25.252465753424655,58.35572602739726,902.82,Bareilly
2023,24.773643835616436,58.312958904109585,1061.8,Bareilly
2024,25.333743169398907,55.50437158469945,1072.45,Bareilly
2015,26.184602739726024,52.65778082191781,966.58,Gorakhpur
2016,26.222185792349727,53.080327868852464,1222.27,Gorakhpur
2017,26.269835616438357,55.223780821917806,1256.5,Gorakhpur
2018,25.722246575342467,54.67616438356164,1278.4,Gorakhpur
2019,25.606493150684933,60.19619178082192,1372.43,Gorakhpur
2020,24.576256830601093,64.36901639344262,1437.66,Gorakhpur
2021,25.015424657534243,62.97808219178082,1938.02,Gorakhpur
2022,25.338356164383562,63.899452054794516,1148.68,Gorakhpur
2023,25.733123287671233,59.07391780821918,1079.09,Gorakhpur
2024,25.951612021857926,58.2107650273224,1308.87,Gorakhpur
2015,24.937972602739727,46.55495890410959,862.4499999999999,Meerut
2016,26.06122950819672,39.60122950819672,658.41,Meerut
2017,25.61068493150685,43.31172602739726,655.45,Meerut
2018,25.093342465753423,48.157397260273974,840.51,Meerut
2019,25.157232876712328,50.07378082191781,639.66,Meerut
2020,24.59549180327869,51.44505464480874,745.81,Meerut
2021,24.411561643835615,54.71969863013698,1124.21,Meerut
2022,25.049561643835617,55.78082191780822,857.4,Meerut
2023,24.28490410958904,57.17380821917808,1007.27,Meerut
2024,25.159726775956283,52.668907103825134,927.64,Meerut
2015,25.844438356164382,43.22282191780822,631.44,Aligarh
2016,26.455519125683058,40.8746174863388,686.07,Aligarh
2017,26.212246575342466,42.043506849315065,589.0600000000001,Aligarh
2018,25.771424657534247,46.9992602739726,782.17,Aligarh
2019,25.70991780821918,49.25805479452055,601.42,Aligarh
2020,25.511803278688525,47.73060109289618,555.76,Aligarh
2021,24.974438356164384,53.848821917808216,971.42,Aligarh
2022,25.696904109589042,53.55534246575343,749.94,Aligarh
2023,25.133397260273973,53.60934246575342,782.89,Aligarh
2024,25.653797814207653,51.65967213114754,817.63,Aligarh
2015,26.116438356164384,49.64556164383562,878.09,Jhansi
2016,26.84142076502732,46.87308743169399,822.39,Jhansi
2017,27.361780821917804,41.88432876712329,542.29,Jhansi
2018,26.711260273972606,47.25643835616438,912.16,Jhansi
2019,25.956657534246578,54.23835616438356,824.62,Jhansi
2020,26.0853825136612,50.97191256830602,651.29,Jhansi
2021,26.286876712328766,51.52112328767123,861.17,Jhansi
2022,26.140958904109592,54.84293150684932,983.01,Jhansi
2023,25.69008219178082,55.238958904109595,892.72,Jhansi
2024,25.934890710382515,56.41655737704918,1070.03,Jhansi
