Year,T2M,RH2M,PRECTOTCORR,District_Name
2015,26.391287671232877,43.29586301369863,589.35,Agra
2016,26.953715846994534,42.146857923497265,771.76,Agra
2017,27.21909589041096,39.36076712328767,454.06,Agra
2018,26.341506849315067,46.32767123287671,857.98,Agra
2019,26.030219178082195,50.75860273972602,698.9,Agra
2020,26.196693989071036,46.16226775956284,510.4,Agra
2021,25.944027397260275,51.01701369863014,852.21,Agra
2022,26.235726027397263,52.31093150684932,775.58,Agra
2023,25.901095890410957,51.30161643835616,687.78,Agra
2024,25.917786885245903,53.58273224043715,1016.9,Agra
2015,25.844438356164382,43.22282191780822,631.44,Aligarh
2016,26.455519125683058,40.8746174863388,686.07,Aligarh
2017,26.212246575342466,42.043506849315065,589.0600000000001,Aligarh
2018,25.771424657534247,46.9992602739726,782.17,Aligarh
2019,25.70991780821918,49.25805479452055,601.42,Aligarh
2020,25.511803278688525,47.73060109289618,555.76,Aligarh
2021,24.974438356164384,53.848821917808216,971.42,Aligarh
2022,25.696904109589042,53.55534246575343,749.94,Aligarh
2023,25.133397260273973,53.60934246575342,782.89,Aligarh
2024,25.653797814207653,51.65967213114754,817.63,Aligarh
2015,27.221972602739726,47.08904109589041,683.08,Prayagraj
2016,26.672923497267757,53.078797814207654,1069.25,Prayagraj
2017,27.033753424657533,50.17298630136986,785.13,Prayagraj
2018,27.073863013698627,47.906,793.6,Prayagraj
2019,26.29772602739726,56.352931506849316,1110.47,Prayagraj
2020,25.109398907103827,61.89639344262296,1032.7,Prayagraj
2021,25.824109589041093,56.68139726027397,1068.58,Prayagraj
2022,26.30380821917808,55.50956164383562,876.22,Prayagraj
2023,26.44353424657534,53.716547945205484,807.04,Prayagraj
2024,26.553715846994535,54.74532786885246,908.33,Prayagraj
2015,26.68701369863014,49.065205479452054,786.68,Ambedkar Nagar
2016,26.439262295081967,52.39251366120219,1054.17,Ambedkar Nagar
2017,26.49353424657534,53.757835616438356,1037.41,Ambedkar Nagar
2018,26.118027397260274,52.51901369863013,1016.98,Ambedkar Nagar
2019,25.829342465753424,59.243013698630136,1204.39,Ambedkar Nagar
2020,24.654972677595627,64.13775956284152,1253.3799999999999,Ambedkar Nagar
2021,25.138794520547943,61.91372602739725,1552.06,Ambedkar Nagar
2022,25.537589041095888,61.74783561643835,982.42,Ambedkar Nagar
2023,26.074273972602743,56.29917808219178,893.6,Ambedkar Nagar
2024,26.24344262295082,56.2529781420765,1019.74,Ambedkar Nagar
2015,26.9993698630137,46.32041095890411,677.56,Amethi
2016,26.415546448087433,52.466830601092894,1010.21,Amethi
2017,26.59994520547945,51.53320547945205,879.9,Amethi
2018,26.551205479452054,49.99435616438356,882.78,Amethi
2019,25.900109589041097,57.78232876712329,1130.21,Amethi
2020,24.705765027322403,62.425683060109286,1062.52,Amethi
2021,25.32323287671233,58.91295890410959,1192.51,Amethi
2022,25.836986301369862,57.83345205479452,897.29,Amethi
2023,26.079260273972604,54.74950684931507,824.17,Amethi
2024,26.32114754098361,54.43573770491803,863.53,Amethi
2015,25.013013698630136,50.203972602739725,1020.26,Amroha
2016,25.915109289617487,43.59,797.6,Amroha
2017,25.786109589041097,46.7321095890411,795.24,Amroha
2018,25.23717808219178,50.30378082191781,972.38,Amroha
2019,25.25756164383562,51.776739726027394,772.49,Amroha
2020,24.589590163934428,53.554180327868856,848.64,Amroha
2021,24.619424657534246,54.91986301369863,1161.95,Amroha
2022,25.222794520547943,57.277150684931506,890.72,Amroha
2023,24.639424657534246,57.942027397260276,1093.56,Amroha
2024,25.329016393442622,54.248715846994536,1009.17,Amroha
2015,26.59186301369863,45.10205479452055,648.12,Auraiya
2016,27.092185792349728,43.94827868852459,707.34,Auraiya
2017,27.379534246575343,41.67816438356164,532.12,Auraiya
2018,26.617232876712333,47.38183561643835,901.09,Auraiya
2019,25.925835616438356,54.11734246575342,844.85,Auraiya
2020,25.928825136612023,50.64256830601093,684.09,Auraiya
2021,26.030054794520545,51.732164383561646,885.86,Auraiya
2022,26.07180821917808,54.85586301369863,950.33,Auraiya
2023,25.99284931506849,52.7465205479452,735.4,Auraiya
2024,26.093743169398905,54.27352459016394,930.87,Auraiya
2015,26.87109589041096,48.46679452054795,713.63,Azamgarh
2016,26.432650273224045,53.77877049180328,1006.81,Azamgarh
2017,26.62315068493151,53.30945205479452,867.65,Azamgarh
2018,26.463150684931506,50.792630136986304,841.05,Azamgarh
2019,26.047589041095893,58.28934246575343,1098.19,Azamgarh
2020,24.74530054644809,64.11562841530055,1099.3700000000001,Azamgarh
2021,25.28416438356164,61.07717808219178,1269.2,Azamgarh
2022,25.789917808219176,59.68279452054795,886.4,Azamgarh
2023,26.32180821917808,54.67276712328768,802.06,Azamgarh
2024,26.395846994535518,55.61032786885246,910.36,Azamgarh
2015,24.937972602739727,46.55495890410959,862.45,Baghpat
2016,26.06122950819672,39.60122950819672,658.41,Baghpat
2017,25.61068493150685,43.31172602739726,655.45,Baghpat
2018,25.093342465753423,48.157397260273974,840.51,Baghpat
2019,25.157232876712328,50.07378082191781,639.66,Baghpat
2020,24.59549180327869,51.44505464480874,745.8100000000001,Baghpat
2021,24.411561643835615,54.71969863013698,1124.21,Baghpat
2022,25.049561643835617,55.78082191780822,857.4,Baghpat
2023,24.28490410958904,57.17380821917808,1007.27,Baghpat
2024,25.159726775956283,52.668907103825134,927.64,Baghpat
2015,25.850027397260273,52.33816438356165,1113.27,Bahraich
2016,26.12726775956284,51.41265027322404,1371.07,Bahraich
2017,26.042410958904107,54.00405479452055,1365.72,Bahraich
2018,25.53030136986301,54.49030136986301,1565.04,Bahraich
2019,25.23506849315068,59.99158904109589,1508.35,Bahraich
2020,24.510027322404373,61.70521857923497,1371.43,Bahraich
2021,24.755260273972603,61.77501369863014,2020.49,Bahraich
2022,25.11791780821918,63.33704109589041,1290.7,Bahraich
2023,25.368136986301373,59.445068493150686,1211.82,Bahraich
2024,25.665300546448087,57.65103825136612,1437.91,Bahraich
2015,26.70586301369863,52.06293150684932,873.42,Ballia
2016,26.81087431693989,52.81469945355191,826.78,Ballia
2017,26.983561643835618,52.90794520547946,803.98,Ballia
2018,26.838739726027395,48.8801095890411,660.22,Ballia
2019,26.42446575342466,57.11005479452054,911.46,Ballia
2020,24.90688524590164,65.38863387978142,1288.91,Ballia
2021,25.346027397260272,63.11539726027397,1317.04,Ballia
2022,25.993397260273973,60.06021917808219,754.01,Ballia
2023,26.833534246575343,53.59509589041096,685.71,Ballia
2024,26.782814207650272,54.87904371584699,796.71,Ballia
2015,25.850027397260273,52.33816438356165,1113.27,Balrampur
2016,26.12726775956284,51.41265027322404,1371.07,Balrampur
2017,26.042410958904107,54.00405479452055,1365.72,Balrampur
2018,25.53030136986301,54.49030136986301,1565.04,Balrampur
2019,25.23506849315068,59.99158904109589,1508.35,Balrampur
2020,24.510027322404373,61.70521857923497,1371.43,Balrampur
2021,24.755260273972603,61.77501369863014,2020.49,Balrampur
2022,25.11791780821918,63.33704109589041,1290.7,Balrampur
2023,25.368136986301373,59.445068493150686,1211.82,Balrampur
2024,25.665300546448087,57.65103825136612,1437.91,Balrampur
2015,27.167671232876714,46.61550684931507,673.61,Banda
2016,26.73549180327869,51.99743169398907,1134.11,Banda
2017,27.343095890410957,46.83923287671233,648.28,Banda
2018,27.13709589041096,47.84156164383561,899.24,Banda
2019,26.226191780821917,56.15506849315068,1065.48,Banda
2020,25.35379781420765,59.39620218579235,962.82,Banda
2021,26.162328767123288,54.08542465753425,965.37,Banda
2022,26.342191780821917,55.66865753424658,916.89,Banda
2023,26.26572602739726,54.396,859.81,Banda
2024,26.645327868852462,53.76106557377049,773.41,Banda
2015,26.546465753424656,46.6511506849315,737.89,Barabanki
2016,26.391229508196723,49.130409836065574,1050.69,Barabanki
2017,26.23139726027397,51.59854794520548,1128.51,Barabanki
2018,25.947150684931504,52.35928767123288,1381.52,Barabanki
2019,25.40364383561644,58.92657534246575,1300.6,Barabanki
2020,24.76833333333333,59.20180327868852,1021.82,Barabanki
2021,25.170630136986304,57.92421917808219,1346.25,Barabanki
2022,25.45295890410959,59.90339726027398,1071.97,Barabanki
2023,25.545698630136986,56.90852054794521,953.08,Barabanki
2024,25.793032786885245,56.15374316939891,1163.97,Barabanki
2015,25.143671232876713,51.25235616438356,1154.19,Bareilly
2016,25.748852459016394,47.53765027322404,1068.98,Bareilly
2017,25.761561643835616,49.2612602739726,938.75,Bareilly
2018,25.26605479452055,52.483479452054794,1265.42,Bareilly
2019,25.132986301369865,55.17087671232876,951.35,Bareilly
2020,24.51969945355191,55.86904371584699,1010.58,Bareilly
2021,24.6233698630137,56.84180821917808,1218.28,Bareilly
2022,25.252465753424655,58.35572602739726,902.82,Bareilly
2023,24.773643835616436,58.312958904109585,1061.8,Bareilly
2024,25.333743169398907,55.50437158469945,1072.45,Bareilly
2015,26.39841095890411,49.81202739726027,805.6,Basti
2016,26.23068306010929,51.967622950819674,1134.04,Basti
2017,26.177890410958906,54.499890410958905,1168.61,Basti
2018,25.78649315068493,54.17115068493151,1389.7,Basti
2019,25.521890410958903,60.08019178082192,1356.82,Basti
2020,24.68524590163934,62.09101092896175,1112.57,Basti
2021,25.06419178082192,61.04534246575342,1514.49,Basti
2022,25.348000000000003,62.64189041095891,1069.36,Basti
2023,25.598657534246577,58.631589041095886,988.34,Basti
2024,25.853360655737706,57.765109289617484,1293.25,Basti
2015,27.164520547945205,48.473260273972606,678.68,Bhadohi
2016,26.682322404371583,53.76281420765027,1089.95,Bhadohi
2017,27.051671232876714,51.0826301369863,770.73,Bhadohi
2018,26.93750684931507,49.206657534246574,838.65,Bhadohi
2019,26.36668493150685,56.70446575342466,1089.74,Bhadohi
2020,25.127404371584696,62.924890710382506,1033.53,Bhadohi
2021,25.844904109589038,57.22698630136986,1001.42,Bhadohi
2022,26.27558904109589,56.38013698630137,876.37,Bhadohi
2023,26.48054794520548,54.51712328767123,808.39,Bhadohi
2024,26.62598360655738,54.964617486338796,846.37,Bhadohi
2015,24.77849315068493,49.89920547945205,925.52,Bijnor
2016,25.949562841530057,41.78819672131147,665.98,Bijnor
2017,25.522849315068495,46.288575342465755,723.78,Bijnor
2018,24.764219178082193,51.579863013698635,983.42,Bijnor
2019,24.96668493150685,51.37413698630137,722.76,Bijnor
2020,24.173142076502735,54.17751366120219,911.61,Bijnor
2021,24.340191780821918,55.328136986301374,1212.97,Bijnor
2022,24.619671232876712,60.206273972602744,1108.46,Bijnor
2023,24.264712328767125,58.99679452054795,1107.65,Bijnor
2024,25.15445355191257,54.148715846994534,981.02,Bijnor
2015,25.444767123287672,48.989534246575346,996.91,Budaun
2016,25.98428961748634,46.602704918032785,976.27,Budaun
2017,26.041972602739726,47.1827397260274,773.93,Budaun
2018,25.557643835616442,51.30208219178082,1127.66,Budaun
2019,25.353068493150687,54.13709589041096,835.33,Budaun
2020,25.023032786885246,52.82051912568306,799.91,Budaun
2021,24.871342465753425,55.76098630136986,1048.8799999999999,Budaun
