State_Name,District_Name,Latitude,Longitude
Uttar Pradesh,Agra,27.1767,78.0081
Rajasthan,Ajmer,26.45,74.64
Uttar Pradesh,Aligarh,27.8974,78.088
Rajasthan,Alwar,27.5667,76.6333
Uttar Pradesh,Ambedkar Nagar,26.405,82.839
Uttar Pradesh,Amethi,26.1542,81.8144
Uttar Pradesh,Amroha,28.9044,78.4678
Uttar Pradesh,Auraiya,26.4642,79.5092
Uttar Pradesh,Azamgarh,26.0739,83.1859
Uttar Pradesh,Baghpat,28.9441,77.2186
Uttar Pradesh,Bahraich,27.5743,81.594
Uttar Pradesh,Ballia,25.7584,84.1487
Uttar Pradesh,Balrampur,27.4295,82.1854
Uttar Pradesh,Banda,25.476,80.335
Rajasthan,Banswara,23.5,74.4
Uttar Pradesh,Barabanki,26.9386,81.1834
Rajasthan,Baran,25.1,76.51
Uttar Pradesh,Bareilly,28.367,79.4304
Rajasthan,Barmer,25.75,71.4167
Uttar Pradesh,Basti,26.8177,82.7638
Uttar Pradesh,Bhadohi,25.3974,82.5703
Rajasthan,Bharatpur,27.2167,77.4833
Rajasthan,Bhilwara,25.35,74.6667
Uttar Pradesh,Bijnor,29.3732,78.1361
Rajasthan,Bikaner,28.0167,73.3
Uttar Pradesh,Budaun,28.0362,79.1267
Uttar Pradesh,Bulandshahr,28.4069,77.8498
Rajasthan,Bundi,25.45,75.6833
Uttar Pradesh,Chandauli,25.2582,83.2683
Uttar Pradesh,Chitrakoot,25.2014,80.8344
Rajasthan,Chittorgarh,24.9,74.6333
Rajasthan,Churu,28.3167,75.0167
Rajasthan,Dausa,26.89,76.33
Uttar Pradesh,Deoria,26.5017,83.7794
Rajasthan,Dholpur,26.7,77.8833
Rajasthan,Dungarpur,23.8333,73.7167
Uttar Pradesh,Etah,27.5588,78.6626
Uttar Pradesh,Etawah,26.7778,79.0214
Uttar Pradesh,Faizabad,26.773,82.1458
Uttar Pradesh,Farrukhabad,27.3905,79.5793
Uttar Pradesh,Fatehpur,25.9304,80.8139
Uttar Pradesh,Firozabad,27.1591,78.3957
Rajasthan,Ganganagar,29.9167,73.8667
Uttar Pradesh,Gautam Buddha Nagar,28.4744,77.503
Uttar Pradesh,Ghaziabad,28.6692,77.4538
Uttar Pradesh,Ghazipur,25.584,83.577
Uttar Pradesh,Gonda,27.131,81.9619
Uttar Pradesh,Gorakhpur,26.7606,83.3732
Uttar Pradesh,Hamirpur,25.9546,80.148
Rajasthan,Hanumangarh,29.5833,74.3
Uttar Pradesh,Hapur,28.7306,77.7759
Uttar Pradesh,Hardoi,27.3943,80.1311
Uttar Pradesh,Hathras,27.6056,78.052
Rajasthan,Jaipur,26.9167,75.8167
Rajasthan,Jaisalmer,26.9167,70.9
Uttar Pradesh,Jalaun,26.1451,79.3366
Rajasthan,Jalore,25.35,72.6167
Uttar Pradesh,Jaunpur,25.7464,82.6837
Rajasthan,Jhalawar,24.6,76.15
Uttar Pradesh,Jhansi,25.4484,78.5685
Rajasthan,Jhunjhunu,28.1333,75.4
Rajasthan,Jodhpur,26.27,73.02
Uttar Pradesh,Kannauj,27.0514,79.9137
Uttar Pradesh,Kanpur Dehat,26.4151,80.324
Uttar Pradesh,Kanpur Nagar,26.4499,80.3319
Rajasthan,Karauli,26.49,77.02
Uttar Pradesh,Kasganj,27.8129,78.6458
Uttar Pradesh,Kaushambi,25.5309,81.3787
Uttar Pradesh,Kheri,27.9462,80.7787
Rajasthan,Kota,25.1833,75.8333
Uttar Pradesh,Kushinagar,26.7403,83.8881
Uttar Pradesh,Lalitpur,24.6909,78.4183
Uttar Pradesh,Lucknow,26.8467,80.9462
Uttar Pradesh,Maharajganj,27.1446,83.562
Uttar Pradesh,Mahoba,25.2921,79.8724
Uttar Pradesh,Mainpuri,27.2285,79.0288
Uttar Pradesh,Mathura,27.4924,77.6737
Uttar Pradesh,Mau,25.9417,83.5611
Uttar Pradesh,Meerut,28.9845,77.7064
Uttar Pradesh,Mirzapur,25.1337,82.5644
Uttar Pradesh,Moradabad,28.8386,78.7733
Uttar Pradesh,Muzaffarnagar,29.4727,77.7085
Rajasthan,Nagaur,27.2,73.7333
Rajasthan,Pali,25.7667,73.3333
Uttar Pradesh,Pilibhit,28.6208,79.8129
Rajasthan,Pratapgarh,24.0333,74.7833
Uttar Pradesh,Pratapgarh,25.8961,81.9424
Uttar Pradesh,Prayagraj,25.4358,81.8463
Uttar Pradesh,Raebareli,26.2345,81.2409
Rajasthan,Rajsamand,25.0667,73.8833
Uttar Pradesh,Rampur,28.7983,79.025
Uttar Pradesh,Saharanpur,29.968,77.5552
Uttar Pradesh,Sambhal,28.5904,78.5718
Uttar Pradesh,Sant Kabir Nagar,26.79,83.0348
Rajasthan,Sawai Madhopur,26.0167,76.3833
Uttar Pradesh,Shahjahanpur,27.8804,79.909
Uttar Pradesh,Shamli,29.4497,77.3167
Uttar Pradesh,Shravasti,27.5075,81.934
Uttar Pradesh,Siddharthnagar,27.2575,82.794
Rajasthan,Sikar,27.6167,75.15
Rajasthan,Sirohi,24.8833,72.85
Uttar Pradesh,Sitapur,27.5619,80.6827
Uttar Pradesh,Sonbhadra,24.685,83.0684
Uttar Pradesh,Sultanpur,26.2648,82.0727
Rajasthan,Tonk,26.1667,75.7833
Rajasthan,Udaipur,24.5833,73.6833
Uttar Pradesh,Unnao,26.5471,80.4878
Uttar Pradesh,Varanasi,25.3176,82.9739
