District_Name,Latitude,Longitude
Ajmer,26.4500,74.6400
Alwar,27.5667,76.6333
Banswara,23.5000,74.4000
Baran,25.1000,76.5100
Barmer,25.7500,71.4167
Bharatpur,27.2167,77.4833
Bhilwara,25.3500,74.6667
Bikaner,28.0167,73.3000
Bundi,25.4500,75.6833
Chittorgarh,24.9000,74.6333
Churu,28.3167,75.0167
Dausa,26.8900,76.3300
Dholpur,26.7000,77.8833
Dungarpur,23.8333,73.7167
Ganganagar,29.9167,73.8667
Hanumangarh,29.5833,74.3000
Jaipur,26.9167,75.8167
Jaisalmer,26.9167,70.9000
Jalore,25.3500,72.6167
Jhalawar,24.6000,76.1500
Jhunjhunu,28.1333,75.4000
Jodhpur,26.2700,73.0200
Karauli,26.4900,77.0200
Kota,25.1833,75.8333
Nagaur,27.2000,73.7333
Pali,25.7667,73.3333
Pratapgarh,24.0333,74.7833
Rajsamand,25.0667,73.8833
Sawai Madhopur,26.0167,76.3833
Sikar,27.6167,75.1500
Sirohi,24.8833,72.8500
Tonk,26.1667,75.7833
Udaipur,24.5833,73.6833
