District_Name,Latitude,Longitude
Agra,27.1767,78.0081
Aligarh,27.8974,78.0880
Prayagraj,25.4358,81.8463
Ambedkar Nagar,26.4050,82.8390
Amethi,26.1542,81.8144
Amroha,28.9044,78.4678
Auraiya,26.4642,79.5092
Azamgarh,26.0739,83.1859
Baghpat,28.9441,77.2186
Bahraich,27.5743,81.5940
Ballia,25.7584,84.1487
Balrampur,27.4295,82.1854
Banda,25.4760,80.3350
Barabanki,26.9386,81.1834
Bareilly,28.3670,79.4304
Basti,26.8177,82.7638
Bhadohi,25.3974,82.5703
Bijnor,29.3732,78.1361
Budaun,28.0362,79.1267
Bulandshahr,28.4069,77.8498
Chandauli,25.2582,83.2683
Chitrakoot,25.2014,80.8344
Deoria,26.5017,83.7794
Etah,27.5588,78.6626
Etawah,26.7778,79.0214
Faizabad,26.7730,82.1458
Farrukhabad,27.3905,79.5793
Fatehpur,25.9304,80.8139
Firozabad,27.1591,78.3957
Gautam Buddha Nagar,28.4744,77.5030
Ghaziabad,28.6692,77.4538
Ghazipur,25.5840,83.5770
Gonda,27.1310,81.9619
Gorakhpur,26.7606,83.3732
Hamirpur,25.9546,80.1480
Hapur,28.7306,77.7759
Hardoi,27.3943,80.1311
Hathras,27.6056,78.0520
Jalaun,26.1451,79.3366
Jaunpur,25.7464,82.6837
Jhansi,25.4484,78.5685
Kannauj,27.0514,79.9137
Kanpur Dehat,26.4151,80.3240
Kanpur Nagar,26.4499,80.3319
Kasganj,27.8129,78.6458
Kaushambi,25.5309,81.3787
Kheri,27.9462,80.7787
Kushinagar,26.7403,83.8881
Lalitpur,24.6909,78.4183
Lucknow,26.8467,80.9462
Maharajganj,27.1446,83.5620
Mahoba,25.2921,79.8724
Mainpuri,27.2285,79.0288
Mathura,27.4924,77.6737
Mau,25.9417,83.5611
Meerut,28.9845,77.7064
Mirzapur,25.1337,82.5644
Moradabad,28.8386,78.7733
Muzaffarnagar,29.4727,77.7085
Pilibhit,28.6208,79.8129
Pratapgarh,25.8961,81.9424
Raebareli,26.2345,81.2409
Rampur,28.7983,79.0250
Saharanpur,29.9680,77.5552
Sambhal,28.5904,78.5718
Sant Kabir Nagar,26.7900,83.0348
Shahjahanpur,27.8804,79.9090
Shamli,29.4497,77.3167
Shravasti,27.5075,81.9340
Siddharthnagar,27.2575,82.7940
Sitapur,27.5619,80.6827
Sonbhadra,24.6850,83.0684
Sultanpur,26.2648,82.0727
Unnao,26.5471,80.4878
Varanasi,25.3176,82.9739
