District_Name,Year,Yield
Agra,2015,3.30971253270213
Agra,2016,2.7699190524469337
Agra,2017,3.153938122551968
Agra,2018,3.2929964303849273
Agra,2019,3.1829989646759
Agra,2020,3.7034802885033167
Agra,2021,3.8969998145744484
Agra,2022,3.8319655420382683
Agra,2023,3.7059996977482244
Agra,2024,2.411001499603046
Aligarh,2015,3.045002254063123
Aligarh,2016,2.855999173828318
Aligarh,2017,3.2169997721958
Aligarh,2018,3.3869999412293907
Aligarh,2019,3.193001708532402
Aligarh,2020,3.5450004282964174
Aligarh,2021,3.7659994490864017
Aligarh,2022,3.465000412136976
Aligarh,2023,3.601001380449112
Aligarh,2024,2.448001719913825
Prayagraj,2015,1.976827582609603
Prayagraj,2016,2.3354589938006907
Prayagraj,2017,2.233698494214189
Prayagraj,2018,2.4937469590759194
Prayagraj,2019,2.139344262295082
Prayagraj,2020,2.465285362865311
Prayagraj,2021,2.643911848788476
Prayagraj,2022,2.492089569850505
Prayagraj,2023,2.4361466460841057
Prayagraj,2024,1.3637425090735167
Bareilly,2015,2.5350010910738963
Bareilly,2016,2.8500010162188527
Bareilly,2017,2.8229987684729063
Bareilly,2018,2.98599782490484
Bareilly,2019,2.794997859382121
Bareilly,2020,2.9140020811857874
Bareilly,2021,3.2529981723041486
Bareilly,2022,3.069997953714009
Bareilly,2023,3.1509987602975285
Bareilly,2024,1.8579996048880987
Gorakhpur,2015,2.1919994450728875
Gorakhpur,2016,2.5250021703272854
Gorakhpur,2017,2.748600238963989
Gorakhpur,2018,2.7208088680307068
Gorakhpur,2019,2.6495235477852765
Gorakhpur,2020,2.9267456391838107
Gorakhpur,2021,3.0610006455094765
Gorakhpur,2022,3.1140024913407514
Gorakhpur,2023,3.247012391294079
Gorakhpur,2024,1.7419985597670398
Jhansi,2015,2.073676077547127
Jhansi,2016,2.0809850103270073
Jhansi,2017,1.896062882995258
Jhansi,2018,2.721690208283457
Jhansi,2019,2.4779107742671185
Jhansi,2020,2.698650811478632
Jhansi,2021,3.128604395850604
Jhansi,2022,2.7838376331755192
Jhansi,2023,1.5346059562927032
Jhansi,2024,1.184314560076357
Kanpur,2015,2.7959440637361412
Kanpur,2016,3.0106992399081647
Kanpur,2017,2.6678017366570854
Kanpur,2018,2.935379803483786
Kanpur,2019,2.94655162082809
Kanpur,2020,3.4796784806635275
Kanpur,2021,3.4642513719586225
Kanpur,2022,3.557762475908912
Kanpur,2023,3.844885772361677
Kanpur,2024,1.5101359571010091
Lucknow,2015,2.3689295548137137
Lucknow,2016,2.670001308480141
Lucknow,2017,2.580003138087939
Lucknow,2018,2.730016449328915
Lucknow,2019,2.6619956539613554
Lucknow,2020,2.8280154990552275
Lucknow,2021,2.704001264068843
Lucknow,2022,2.871995970643258
Lucknow,2023,2.972002015658223
Lucknow,2024,1.8220008825568934
Meerut,2015,3.6080049619625068
Meerut,2016,3.722003591017537
Meerut,2017,3.703002979860255
Meerut,2018,3.5860014807221368
Meerut,2019,3.667001543701453
Meerut,2020,4.079997537400726
Meerut,2021,4.209002026794478
Meerut,2022,4.13000409018866
Meerut,2023,4.291995505148173
Meerut,2024,3.222999263855295
Varanasi,2015,2.144497497223144
Varanasi,2016,2.5346618461450174
Varanasi,2017,2.541572357489566
Varanasi,2018,2.822997934832492
Varanasi,2019,2.512917676226968
Varanasi,2020,2.8029642422354972
Varanasi,2021,3.022281281425083
Varanasi,2022,3.0788178753317554
Varanasi,2023,2.7227337569705616
Varanasi,2024,1.8509990235655887
