iter	RMSE
0	0.6552926855
1	0.6423263728
2	0.6303538335
3	0.6187929182
4	0.6072084707
5	0.5968412479
6	0.5870858402
7	0.5763573933
8	0.5662574675
9	0.5572645973
10	0.5486112962
11	0.5400380175
12	0.5318050715
13	0.5247735092
14	0.517268685
15	0.5109171459
16	0.5042449278
17	0.4974904642
18	0.4894562757
19	0.482199638
20	0.4767203051
21	0.4706283327
22	0.4650306767
23	0.4591255902
24	0.4533941202
25	0.4491375501
26	0.4442014371
27	0.4408211753
28	0.4368675154
29	0.433464631
30	0.4296543494
31	0.4265302891
32	0.4231606129
33	0.4185431789
34	0.4145735613
35	0.4107235078
36	0.4059524488
37	0.4028975516
38	0.3989074766
39	0.3958811838
40	0.3925806359
41	0.3903433168
42	0.3878896667
43	0.3856713086
44	0.3828794312
45	0.3808336738
46	0.3786094844
47	0.3769414508
48	0.3752229683
49	0.3728547601
50	0.3706357884
51	0.3682609624
52	0.3659540926
53	0.3641764852
54	0.3623920221
55	0.360037416
56	0.3584750884
57	0.3567392853
58	0.3554725024
59	0.3541779192
60	0.3517272355
61	0.3491053686
62	0.3480440717
63	0.3457967755
64	0.3439182171
65	0.3423555221
66	0.3416134104
67	0.340322089
68	0.3376891451
69	0.336434371
70	0.3345715192
71	0.3331145731
72	0.3318069733
73	0.3307992691
74	0.3295309076
75	0.3292457731
76	0.3282305179
77	0.3269395344
78	0.3258157998
79	0.3248460292
80	0.3236612093
81	0.3225367229
82	0.3215971926
83	0.3204161968
84	0.3185613878
85	0.3176230652
86	0.3168132171
87	0.3158350345
88	0.3144503392
89	0.3130824663
90	0.3122712199
91	0.3112660358
92	0.3107329013
93	0.3093090266
94	0.3077475256
95	0.3064148546
96	0.3057619507
97	0.3047778584
98	0.3034595173
99	0.3026977478
100	0.302085619
101	0.3016124428
102	0.3011777998
103	0.2992933821
104	0.2982720051
105	0.296687379
106	0.2953194062
107	0.2942726593
108	0.2938032996
109	0.2928316187
110	0.2920312455
111	0.2914327735
112	0.2898821292
113	0.2882235627
114	0.2873457133
115	0.2859348211
116	0.2853909071
117	0.2836094619
118	0.2825989275
119	0.281730949
120	0.2809863709
121	0.279745665
122	0.2787934867
123	0.2770086683
124	0.2761038166
125	0.2754543217
126	0.2743726315
127	0.2733532572
128	0.2724978245
129	0.2716184943
130	0.2705108129
131	0.2697078885
132	0.2681638209
133	0.2676900175
134	0.2672305896
135	0.2670165737
136	0.2662425214
137	0.2650362977
138	0.2640666778
139	0.2631904862
140	0.2621004636
141	0.2607512874
142	0.2599179726
143	0.2590263195
144	0.2584408668
145	0.2582471674
146	0.2573655024
147	0.2570238519
148	0.2553916885
149	0.2546290712
150	0.254127566
151	0.2532648974
152	0.2521006416
153	0.2518187783
154	0.2514566109
155	0.2508508624
156	0.2504134591
157	0.2494054287
158	0.2481745359
159	0.2474861864
160	0.2462387592
161	0.2457780349
162	0.2453535958
163	0.2444735456
164	0.2442193467
165	0.2432973664
166	0.2427684177
167	0.2415322449
168	0.2413656129
169	0.2401795571
170	0.2399260304
171	0.2392850314
172	0.2382596532
173	0.237991501
174	0.2375622888
175	0.2359780351
176	0.2352598497
177	0.2344578205
178	0.2332216854
179	0.2329236993
180	0.2325248487
181	0.2322405984
182	0.2320809197
183	0.2317381265
184	0.2313714705
185	0.2300584727
186	0.2297297621
187	0.2287635489
188	0.2283336586
189	0.2275735993
190	0.226586356
191	0.2258787737
192	0.2257376783
193	0.2250023716
194	0.2245132475
195	0.2242754523
196	0.2237972124
197	0.2228426476
198	0.222615337
199	0.2216948217
200	0.2209780973
201	0.2200830979
202	0.2193766974
203	0.2187063709
204	0.2185770581
205	0.2182550982
206	0.218136276
207	0.2179315985
208	0.2178424126
209	0.21712656
210	0.2168276925
211	0.2161284653
212	0.2153745355
213	0.2148966273
214	0.213583017
215	0.2133547997
216	0.2132659384
217	0.2131562658
218	0.2129954245
219	0.2128408996
220	0.2127747167
221	0.2120283697
222	0.2116232956
223	0.2103517437
224	0.2101292025
225	0.2089960081
226	0.2084712713
227	0.2077314736
228	0.2068078672
229	0.2065799227
230	0.2061929548
231	0.2060963232
232	0.2059842422
233	0.205225599
234	0.2051232361
235	0.2049783607
236	0.2048557821
237	0.204759404
238	0.2038208038
239	0.2036025048
240	0.2034264705
241	0.2029740024
242	0.2023720077
243	0.2021776992
244	0.2019914583
245	0.2010673911
246	0.200258955
247	0.2000727875
248	0.1993628111
249	0.1984125483
250	0.1977499489
251	0.1970165785
252	0.1963561
253	0.195989539
254	0.1950593867
255	0.1941933212
256	0.1931235406
257	0.1929600574
258	0.1926394902
259	0.1922460603
260	0.1916482774
261	0.1914368984
262	0.1902930965
263	0.1899693811
264	0.18911063
265	0.1887701608
266	0.1886109958
267	0.1882981579
268	0.187699125
269	0.1872646743
270	0.1865252543
271	0.1859545171
272	0.1855050931
273	0.1850675829
274	0.1849108414
275	0.1844122093
276	0.1835031987
277	0.1830093025
278	0.1822986823
279	0.1821577784
280	0.182002386
281	0.181089854
282	0.1802542188
283	0.1801646836
284	0.1795386826
285	0.1794057808
286	0.1785387681
287	0.1783133164
288	0.1777936794
289	0.1774480807
290	0.1766674621
291	0.1759326636
292	0.1754955829
293	0.1748296304
294	0.1747413976
295	0.1746021239
296	0.1741035091
297	0.1735793693
298	0.1726599513
299	0.1717194471
