iter	Passed	Remaining
0	125	37528
1	128	19197
2	133	13167
3	137	10151
4	140	8302
5	144	7070
6	147	6181
7	151	5527
8	155	5019
9	158	4593
10	162	4272
11	166	3999
12	170	3766
13	173	3550
14	176	3361
15	180	3197
16	183	3062
17	187	2934
18	190	2821
19	194	2720
20	197	2626
21	201	2552
22	205	2475
23	209	2407
24	213	2348
25	217	2291
26	220	2232
27	224	2181
28	228	2132
29	232	2090
30	236	2047
31	239	2008
32	243	1971
33	247	1940
34	251	1907
35	255	1874
36	259	1843
37	263	1816
38	267	1790
39	271	1763
40	275	1739
41	279	1717
42	283	1693
43	286	1668
44	290	1644
45	295	1632
46	299	1613
47	304	1596
48	309	1583
49	313	1565
50	317	1548
51	320	1529
52	326	1521
53	330	1505
54	334	1492
55	341	1487
56	345	1472
57	349	1458
58	354	1446
59	358	1434
60	362	1422
61	369	1417
62	375	1412
63	380	1404
64	389	1407
65	393	1395
66	398	1386
67	405	1383
68	410	1375
69	415	1365
70	423	1364
71	428	1355
72	434	1349
73	439	1341
74	443	1330
75	450	1327
76	455	1317
77	459	1307
78	465	1300
79	469	1292
80	474	1282
81	482	1281
82	487	1275
83	494	1270
84	499	1264
85	505	1256
86	509	1247
87	515	1243
88	520	1233
89	525	1227
90	532	1223
91	537	1215
92	543	1210
93	548	1202
94	554	1196
95	561	1193
96	566	1185
97	575	1185
98	580	1179
99	585	1170
100	590	1164
101	595	1155
102	599	1145
103	603	1136
104	607	1128
105	611	1119
106	615	1110
107	621	1104
108	625	1095
109	630	1088
110	634	1080
111	639	1073
112	644	1065
113	649	1059
114	654	1052
115	658	1043
116	662	1036
117	666	1028
118	670	1020
119	675	1012
120	679	1005
121	683	997
122	688	990
123	693	983
124	698	978
125	703	972
126	708	965
127	714	959
128	720	955
129	725	948
130	731	943
131	735	936
132	740	929
133	745	923
134	750	916
135	754	909
136	758	902
137	762	895
138	766	888
139	770	880
140	774	873
141	779	867
142	783	860
143	788	853
144	792	846
145	796	839
146	800	833
147	804	826
148	808	819
149	812	812
150	816	806
151	820	799
152	824	792
153	829	786
154	833	779
155	837	772
156	841	766
157	846	761
158	853	756
159	858	751
160	862	745
161	867	738
162	874	734
163	882	731
164	887	726
165	892	720
166	896	714
167	901	708
168	906	702
169	912	697
170	916	691
171	919	683
172	922	677
173	926	671
174	930	664
175	935	659
176	940	653
177	943	646
178	948	640
179	953	635
180	957	629
181	962	623
182	966	617
183	970	611
184	975	606
185	979	600
186	984	594
187	988	589
188	991	582
189	995	576
190	1000	571
191	1004	565
192	1007	558
193	1012	553
194	1016	547
195	1021	542
196	1026	536
197	1031	531
198	1036	526
199	1041	520
200	1046	515
201	1051	510
202	1056	504
203	1060	499
204	1065	493
205	1069	487
206	1073	482
207	1078	477
208	1083	471
209	1087	465
210	1090	460
211	1094	454
212	1098	448
213	1102	443
214	1106	437
215	1110	431
216	1114	426
217	1118	420
218	1121	414
219	1125	409
220	1128	403
221	1133	398
222	1139	393
223	1143	388
224	1147	382
225	1152	377
226	1156	371
227	1159	366
228	1164	360
229	1168	355
230	1172	350
231	1176	344
232	1180	339
233	1184	334
234	1188	328
235	1192	323
236	1196	318
237	1200	312
238	1204	307
239	1208	302
240	1212	296
241	1216	291
242	1220	286
243	1224	280
244	1228	275
245	1232	270
246	1236	265
247	1240	260
248	1244	254
249	1248	249
250	1251	244
251	1255	239
252	1258	233
253	1261	228
254	1264	223
255	1267	217
256	1271	212
257	1273	207
258	1277	202
259	1281	197
260	1285	192
261	1288	186
262	1292	181
263	1295	176
264	1298	171
265	1302	166
266	1307	161
267	1311	156
268	1316	151
269	1320	146
270	1324	141
271	1327	136
272	1332	131
273	1339	127
274	1344	122
275	1348	117
276	1354	112
277	1359	107
278	1364	102
279	1369	97
280	1375	93
281	1379	88
282	1384	83
283	1388	78
284	1392	73
285	1395	68
286	1398	63
287	1402	58
288	1406	53
289	1409	48
290	1413	43
291	1417	38
292	1420	33
293	1423	29
294	1427	24
295	1432	19
296	1436	14
297	1440	9
298	1444	4
299	1451	0
